projeto,fase,skill_slug,modo_avaliacao,base_repo_url,timeout_s
Desafios Pós IAOps,Playbook de IA Operacional,corrige-aiops-playbook,estatica,https://github.com/fabricioveronez/prompt-registry,
Integração contínua,Pipeline de CI com SonarCloud,corrige-ci-sonarcloud,estatica,,
Desafios Clean Arch,API de Products,corrige-clean-arch-api-product,execucao,,
Desafios Clean Arch,Notification Pattern em Products,corrige-clean-arch-notification-pattern,execucao,,
Desafios Clean Arch,Use cases para Product,corrige-clean-arch-usecases-product,execucao,,
Desafios Clean Arch,Validação de Products,corrige-clean-arch-validacao-product,execucao,,
GoLang,Clean Architecture,corrige-clean-architecture-go,execucao,,2700
GoLang,Client-Server-API,corrige-client-server-api,execucao,,
Administração do Catálogo de vídeo com Python,API CastMember,corrige-codeflix-py-api-castmember,execucao,,
Administração do Catálogo de vídeo com Python,Paginação e Refatoração,corrige-codeflix-py-paginacao-refatoracao,execucao,,
Administração do Catálogo de vídeo com Python,Implementar API para PATCH,corrige-codeflix-py-patch-api-categoria,execucao,,
Administração do Catálogo de vídeo com Python,Implementar um teste end-to-end,corrige-codeflix-py-teste-e2e-video,estatica,,
Administração do Catálogo de vídeo com Python,Gerando token JWT para Testes,corrige-codeflix-py-token-jwt,estatica,,
Administração do Catálogo de vídeo com Python,Update API,corrige-codeflix-py-update-api-genre,execucao,,
Administração do Catálogo de vídeo com Python,Caso de uso: Atualizar Gênero,corrige-codeflix-py-usecase-update-genre,execucao,,
Administração do Catálogo de vídeo com Python,Video API,corrige-codeflix-py-video-api,execucao,,
Administração do Catálogo de vídeo com TypeScript,Conclusão do projeto,corrige-codeflix-ts-conclusao-projeto,execucao,,2700
Administração do Catálogo de vídeo com TypeScript,Endpoints de Categoria e Cast Member,corrige-codeflix-ts-endpoints-categoria-castmember,execucao,,
Administração do Catálogo de vídeo com TypeScript,Criando projeto e entidade Categoria,corrige-codeflix-ts-entidade-categoria,execucao,,
Administração do Catálogo de vídeo com TypeScript,Repositório e validação da entidade Categoria,corrige-codeflix-ts-repositorio-validacao-categoria,execucao,,
Administração do Catálogo de vídeo com TypeScript,Cobertura de testes Typescript e Casos de uso de categoria,corrige-codeflix-ts-usecases-categoria,execucao,,
Catálogo de vídeos,Primeiro upload de arquivos,corrige-codeflix-upload-video,estatica,,
DDD Patterns,Eventos de Customer,corrige-ddd-customer-events,execucao,,
Desafios MBA Arquitetura,DDD - Lista de Espera de Ingressos,corrige-ddd-lista-espera-ingressos,execucao,https://github.com/devfullcycle/mba-domain-driven-design,2700
DDD Patterns,Métodos de OrderRepository,corrige-ddd-order-repository,execucao,,
Desafios MBA IA,Da Reunião ao Documento: Design Docs Gerados por IA,corrige-design-docs-ia,estatica,https://github.com/devfullcycle/mba-ia-desafio-design-docs-com-ia,
Iniciando com Docker,Desafio Go,corrige-docker-go-otimizado,execucao,,
Desafios MBA Arquitetura,"Do compose ao cluster: Docker, Kubernetes e Terraform",corrige-docker-k8s-terraform,execucao,https://github.com/devfullcycle/desafio-docker-kubernetes-and-terraform,2700
Iniciando com Docker,Nginx com Node.js,corrige-docker-nginx,execucao,,
Desafio prático - Docker,Do Dev à Produção: Containerizando uma API Node.js,corrige-docker-node-api-producao,execucao,https://github.com/devfullcycle/fc4-desafio-docker-node-api,2700
Criação de Microservice,Criação de um microsserviço,corrige-eda-balances-kafka,execucao,,2700
Desafios MBA Arquitetura,Fechamento de Faturamento: do cálculo descartável à persistê,corrige-fechamento-faturamento,execucao,https://github.com/devfullcycle/mba_fullcycle_design_patterns,
Desafios Pós IAOps,Frameworks de Prompt Engineering,corrige-frameworks-prompt-engineering,estatica,,
Git,Assine seu Commit,corrige-git-commit-assinado,estatica,,
Desafios MBA Arquitetura,Cancelamento de Evento com Arquitetura Hexagonal & Clean,corrige-hexagonal-cancelamento-evento,execucao,https://github.com/devfullcycle/MBA-hexagonal-architecture,2700
Desafios MBA IA,Ingestão e Busca Semântica com LangChain e Postgres,corrige-langchain-postgres,estatica,,
Desafio Leilão,Abertura e fechamento do Leilão - Go Routines,corrige-leilao-goroutines,execucao,https://github.com/devfullcycle/labs-auction-goexpert,
Sistemas Monolíticos,Criação de API,corrige-monolito-endpoints-api,execucao,,
Sistemas Monolíticos,Criação de módulo de Invoice,corrige-monolito-modulo-invoice,execucao,,
GoLang,Multithreading,corrige-multithreading-cep,execucao,,
Desafios MBA IA,"Pull, Otimização e Avaliação de Prompts com LangChain/Smith",corrige-prompt-langchain,estatica,https://github.com/devfullcycle/mba-ia-pull-evaluation-prompt,
Desafios Pós Go Expert,Rate Limiter,corrige-rate-limiter,execucao,,
Desafios MBA IA,Skill de Auditoria e Refatoração Arquitetural,corrige-skills-refactor-arch,estatica,,
Desafios MBA IA,Continuando o StreamTube com IA,corrige-streamtube-upload-videos,execucao,https://github.com/devfullcycle/mba-ia-greenfield-project,2700
Desafios Pós Go Expert,Sistema de Stress test,corrige-stress-test-go,execucao,,2700
TDD - Test Driven Development,Desafio Técnico: Desenvolvimento Orientado a Testes (TDD),corrige-tdd-reservas,execucao,,
Desafio Google Cloud Run,Sistema de temperatura por CEP,corrige-temperatura-cep,execucao,,
Desafio Observabilidade & Open Telemetry,Tracing Distribuído e Span,corrige-tracing-distribuido,execucao,,
